Afghanistan;Afghanistans;Islamische Republik Afghanistan;Islamischen Republik Afghanistan
Ägypten;Ägyptens;Arabische Republik Ägypten;Arabischen Republik Ägypten
Albanien;Albaniens;Republik Albanien
Algerien;Algeriens;Demokratische Volksrepublik Algerien;Demokratischen Volksrepublik Algerien
Andorra;Andorras;Fürstentum Andorra;Fürstentums Andorra
Angola;Angolas;Republik Angola
Antigua und Barbuda;Antigua und Barbudas
Äquatorialguinea;Äquatorialguineas;Republik Äquatorialguinea
Argentinien;Argentinien;Argentinische Republik;Argentinischen Republik
Armenien;Armeniens;Republik Armenien
Aserbaidschan;Aserbaidschans;Republik Aserbaidschan
Äthiopien;Äthiopiens;Demokratische Bundesrepublik Äthiopien;Demokratischen Bundesrepublik Äthiopien
Australien;Australiens
Bahamas;Commonwealth der Bahamas
Bahrain;Bahrains;Königreich Bahrain;Königreiches Bahrain
Bangladesch;Bangladeschs;Volksrepublik Bangladesch
Barbados
Belarus;Republik Belarus
Belgien;Belgiens;Königreich Belgien;Königreiches Belgien
Belize;Belizes
Benin;Benins;Republik Benin
Bhutan;Bhutans;Königreich Bhutan;Königreiches Bhutan
Bolivien;Boliviens;Plurinationaler Staat Bolivien;Plurinationalen Staates Bolivien
Bosnien und Herzegowina;Bosnien und Herzegowinas
Botsuana;Botsuanas;Republik Botsuana
Brasilien;Brasiliens;Föderative Republik Brasilien;Föderativen Republik Brasilien
Brunei Darussalam;Brunei Darussalams
Bulgarien;Bulgariens;Republik Bulgarien
Burkina Faso;Burkina Fasos
Burundi;Burundis;Republik Burundi
Cabo Verde;Cabo Verdes;Republik Cabo Verde
Chile;Chiles;Republik Chile
China;Chinas;Volksrepublik China
Cookinseln;Cookinseln
Costa Rica;Costa Ricas;Republik Costa Rica
Côte d'Ivoire;Côte d'Ivoires;Republik Côte d'Ivoire
Dänemark;Dänemarks;Königreich Dänemark;Königreiches Dänemark
Deutschland;Deutschlands;Bundesrepublik Deutschland
Dominica;Dominicas;Commonwealth Dominica
Dominikanische Republik;Dominikanischen Republik
Dschibuti;Dschibutis;Republik Dschibuti
Ecuador;Ecuadors;Republik Ecuador
El Salvador;El Salvadors;Republik El Salvador
Eritrea;Eritreas;Staat Eritrea
Estland;Estlands;Republik Estland
Eswatini;Eswatinis;Königreich Eswatini;Königreiches Eswatini
Fidschi;Fidschis;Republik Fidschi
Finnland;Finnlands;Republik Finnland
Frankreich;Frankreichs;Französische Republik;Französischen Republik
Gabun;Gabuns;Gabunische Republik;Gabunischen Republik
Gambia;Gambias;Republik Gambia
Georgien;Georgiens
Ghana;Ghanas;Republik Ghana
Grenada;Grenadas
Griechenland;Griechenlands;Hellenische Republik;Hellenischen Republik
Guatemala;Guatemalas;Republik Guatemala
Guinea;Guineas;Republik Guinea
Guinea-Bissau;Guinea-Bissaus;Republik Guinea-Bissau
Guyana;Guyanas;Kooperative Republik Guyana;Kooperativen Republik Guyana
Haiti;Haitis;Republik Haiti
Heiliger Stuhl;Heiligen Stuhl
Honduras;Republik Honduras
Indien;Indiens;Republik Indien
Indonesien;Indonesiens;Republik Indonesien
Irak;Iraks;Republik Irak
Iran;Irans;Islamische Republik Iran;Islamischen Republik Iran
Irland;Irlands
Island;Islands;Republik Island
Israel;Israels;Staat Israel;Staates Israel
Italien;Italiens;Italienische Republik;Italienischen Republik
Jamaika;Jamaikas
Japan;Japans
Jemen;Jemens;Republik Jemen
Jordanien;Jordaniens;Haschemitisches Königreich Jordanien;Haschemitischen Königreich Jordanien
Kambodscha;Kambodschas;Königreich Kambodscha
Kamerun;Kameruns;Republik Kamerun
Kanada;Kanadas
Kasachstan;Kasachstans;Republik Kasachstan
Katar;Katars;Staat Katar;Staates Katar
Kenia;Kenias;Republik Kenia
Kirgisistan;Kirgisistans;Kirgisische Republik;Kirgisischen Republik
Kiribati;Kiribatis;Republik Kiribati
Kolumbien;Kolumbiens;Republik Kolumbien
Komoren;Komorens;Union der Komoren
Kongo;Kongos;Republik Kongo;Demokratische Republik Kongo;Demokratischen Republik Kongo
Korea;Koreas;Demokratische Volksrepublik Korea;Demokratischen Volksrepublik Korea;Republik Korea
Kosovo;Kosovos;Republik Kosovo
Kroatien;Kroatiens;Republik Kroatien
Kuba;Kubas;Republik Kuba
Kuwait;Kuwaits;Staat Kuwait;Staates Kuwait
Laos;Demokratische Volksrepublik Laos;Demokratischen Volksrepublik Laos
Lesotho;Lesothos;Königreich Lesotho;Königreiches Lesotho
Lettland;Lettlands;Republik Lettland
Libanon;Libanons;Libanesische Republik;Libanesischen Republik
Liberia;Liberias;Republik Liberia
Libyen;Libyens;Staat Libyen;Staates Libyen
Liechtenstein;Liechtensteins;Fürstentum Liechtenstein;Fürstentums Liechtenstein
Litauen;Litauens;Republik Litauen
Luxemburg;Luxemburgs;Großherzogtum Luxemburg;Großherzogtums Luxemburg
Madagaskar;Madagaskars;Republik Madagaskar
Malawi;Malawis;Republik Malawi
Malaysia;Malaysias
Malediven;Maledivens;Republik Malediven
Mali;Malis;Republik Mali
Malta;Maltas;Republik Malta
Marokko;Marokkos;Königreich Marokko;Königreiches Marokko
Marshallinseln;Republik Marshallinseln
Mauretanien;Mauretaniens;Islamische Republik Mauretanien;Islamischen Republik Mauretanien
Mauritius;Republik Mauritius
Mexiko;Mexikos;Vereinigte Mexikanische Staaten;Vereinigten Mexikanische Staaten
Mikronesien;Mikronesiens;Föderierte Staaten von Mikronesien;Föderierten Staaten von Mikronesien
Moldau;Moldaus;Republik Moldau
Monaco;Monacos;Fürstentum Monaco;Fürstentums Monaco
Mongolei;Mongoleis
Montenegro;Montenegros
Mosambik;Mosambiks;Republik Mosambik
Myanmar;Myanmars;Republik der Union Myanmar
Namibia;Namibias;Republik Namibia
Nauru;Naurus;Republik Nauru
Nepal;Nepals;Demokratische Bundesrepublik Nepal;Demokratischen Bundesrepublik Nepal
Neuseeland;Neuseelands
Nicaragua;Nicaraguas;Republik Nicaragua
Niederlande;Niederlandes;Königreich der Niederlande;Königreiches der Niederlande
Niger;Nigers;Republik Niger
Nigeria;Nigerias;Bundesrepublik Nigeria
Niue;Niues
Nordmazedonien;Nordmazedoniens;Republik Nordmazedonien
Norwegen;Norwegens;Königreich Norwegen;Königreiches Norwegen
